pT,pE,fwer
0.800000,0.933333,0.0446306332
0.833333,0.933333,0.0446306332
0.866667,0.933333,0.0446306332
0.900000,0.933333,0.0446306332
0.933333,0.933333,0.0446306332
0.966667,0.933333,0.0446306332
1.000000,0.933333,0.0446306332
0.000000,0.966667,nan
0.033333,0.966667,nan
0.066667,0.966667,nan
0.100000,0.966667,nan
0.133333,0.966667,nan
0.166667,0.966667,nan
0.200000,0.966667,nan
0.233333,0.966667,nan
0.266667,0.966667,nan
0.300000,0.966667,nan
0.333333,0.966667,nan
0.366667,0.966667,nan
0.400000,0.966667,0.0872693730
0.433333,0.966667,0.0598933999
0.466667,0.966667,0.0492550419
0.500000,0.966667,0.0458052122
0.533333,0.966667,0.0448774518
0.566667,0.966667,0.0446727896
0.600000,0.966667,0.0446363503
0.633333,0.966667,0.0446312301
0.666667,0.966667,0.0446306793
0.700000,0.966667,0.0446306357
0.733333,0.966667,0.0446306333
0.766667,0.966667,0.0446306332
0.800000,0.966667,0.0446306332
0.833333,0.966667,0.0446306332
0.866667,0.966667,0.0446306332
0.900000,0.966667,0.0446306332
0.933333,0.966667,0.0446306332
0.966667,0.966667,0.0446306332
1.000000,0.966667,0.0446306332
0.000000,1.000000,nan
0.033333,1.000000,nan
0.066667,1.000000,nan
0.100000,1.000000,nan
0.133333,1.000000,nan
0.166667,1.000000,nan
0.200000,1.000000,nan
0.233333,1.000000,nan
0.266667,1.000000,nan
0.300000,1.000000,nan
0.333333,1.000000,nan
0.366667,1.000000,nan
0.400000,1.000000,0.0872693730
0.433333,1.000000,0.0598933999
0.466667,1.000000,0.0492550419
0.500000,1.000000,0.0458052122
0.533333,1.000000,0.0448774518
0.566667,1.000000,0.0446727896
0.600000,1.000000,0.0446363503
0.633333,1.000000,0.0446312301
0.666667,1.000000,0.0446306793
0.700000,1.000000,0.0446306357
0.733333,1.000000,0.0446306333
0.766667,1.000000,0.0446306332
0.800000,1.000000,0.0446306332
0.833333,1.000000,0.0446306332
0.866667,1.000000,0.0446306332
0.900000,1.000000,0.0446306332
0.933333,1.000000,0.0446306332
0.966667,1.000000,0.0446306332
1.000000,1.000000,0.0446306332
